bootstrap,resample,delta_f1,delta_fpr
event,"[(5031, 4971, 5091), (5031, 4971, 5091), (5031, 4971, 5091), (2867, 2807, 2927), (3884, 3824, 3944), (22, 0, 82), (2867, 2807, 2927), (5784, 5724, 5844), (2147, 2087, 2207), (2867, 2807, 2927), (5784, 5724, 5844), (2147, 2087, 2207), (590, 530, 650)]",-0.10962962962962958,-0.04094244882193897
event,"[(590, 530, 650), (2147, 2087, 2207), (4724, 4664, 4784), (2867, 2807, 2927), (1860, 1800, 1920), (5784, 5724, 5844), (2550, 2490, 2610), (2867, 2807, 2927), (22, 0, 82), (376, 316, 436), (376, 316, 436), (2147, 2087, 2207), (2147, 2087, 2207)]",-0.10876291122808973,-0.042747163695299836
event,"[(2867, 2807, 2927), (22, 0, 82), (590, 530, 650), (2867, 2807, 2927), (2867, 2807, 2927), (2550, 2490, 2610), (4724, 4664, 4784), (4501, 4441, 4561), (5031, 4971, 5091), (2550, 2490, 2610), (2867, 2807, 2927), (22, 0, 82), (22, 0, 82)]",-0.05324618736383441,-0.04866743916570104
event,"[(3884, 3824, 3944), (376, 316, 436), (1860, 1800, 1920), (22, 0, 82), (5031, 4971, 5091), (3884, 3824, 3944), (376, 316, 436), (5784, 5724, 5844), (5784, 5724, 5844), (1860, 1800, 1920), (590, 530, 650), (4724, 4664, 4784), (4724, 4664, 4784)]",0.013477032741086636,-0.05932370970931382
event,"[(1860, 1800, 1920), (1860, 1800, 1920), (2147, 2087, 2207), (590, 530, 650), (5784, 5724, 5844), (2147, 2087, 2207), (1860, 1800, 1920), (22, 0, 82), (3884, 3824, 3944), (590, 530, 650), (376, 316, 436), (1860, 1800, 1920), (5597, 5537, 5657)]",-0.10944875837920512,-0.043504053786830144
event,"[(2147, 2087, 2207), (2147, 2087, 2207), (2867, 2807, 2927), (4724, 4664, 4784), (4501, 4441, 4561), (5597, 5537, 5657), (2867, 2807, 2927), (1860, 1800, 1920), (2867, 2807, 2927), (3884, 3824, 3944), (2550, 2490, 2610), (2550, 2490, 2610), (4501, 4441, 4561)]",-0.1420383551110639,-0.04004781829049611
event,"[(1860, 1800, 1920), (2147, 2087, 2207), (2550, 2490, 2610), (2550, 2490, 2610), (376, 316, 436), (2550, 2490, 2610), (22, 0, 82), (5597, 5537, 5657), (4501, 4441, 4561), (2867, 2807, 2927), (2147, 2087, 2207), (4724, 4664, 4784), (2867, 2807, 2927)]",-0.14981205552325808,-0.03808752025931928
event,"[(5031, 4971, 5091), (590, 530, 650), (4724, 4664, 4784), (22, 0, 82), (376, 316, 436), (5031, 4971, 5091), (22, 0, 82), (3884, 3824, 3944), (5784, 5724, 5844), (2867, 2807, 2927), (5597, 5537, 5657), (5597, 5537, 5657), (4501, 4441, 4561)]",-0.10049221659556304,-0.043821391484942886
event,"[(1860, 1800, 1920), (2550, 2490, 2610), (590, 530, 650), (1860, 1800, 1920), (5784, 5724, 5844), (5784, 5724, 5844), (2147, 2087, 2207), (2550, 2490, 2610), (2550, 2490, 2610), (4501, 4441, 4561), (4724, 4664, 4784), (5031, 4971, 5091), (2550, 2490, 2610)]",-0.019900950530911177,-0.05439330543933054
event,"[(2550, 2490, 2610), (5597, 5537, 5657), (4501, 4441, 4561), (5784, 5724, 5844), (2867, 2807, 2927), (2867, 2807, 2927), (4501, 4441, 4561), (5784, 5724, 5844), (2550, 2490, 2610), (3884, 3824, 3944), (5031, 4971, 5091), (376, 316, 436), (1860, 1800, 1920)]",-0.07959414818310523,-0.04899959167006942
event,"[(2550, 2490, 2610), (376, 316, 436), (4724, 4664, 4784), (2867, 2807, 2927), (5597, 5537, 5657), (4501, 4441, 4561), (5597, 5537, 5657), (5031, 4971, 5091), (2867, 2807, 2927), (3884, 3824, 3944), (1860, 1800, 1920), (5784, 5724, 5844), (2867, 2807, 2927)]",-0.07255932168649179,-0.05024073686414068
event,"[(2147, 2087, 2207), (590, 530, 650), (2147, 2087, 2207), (376, 316, 436), (2147, 2087, 2207), (2550, 2490, 2610), (4724, 4664, 4784), (2550, 2490, 2610), (5784, 5724, 5844), (5784, 5724, 5844), (5031, 4971, 5091), (3884, 3824, 3944), (590, 530, 650)]",-0.01046814954210279,-0.0541940625622634
event,"[(590, 530, 650), (2147, 2087, 2207), (4501, 4441, 4561), (4724, 4664, 4784), (4724, 4664, 4784), (5597, 5537, 5657), (2147, 2087, 2207), (2147, 2087, 2207), (2867, 2807, 2927), (5597, 5537, 5657), (3884, 3824, 3944), (1860, 1800, 1920), (5784, 5724, 5844)]",-0.1498631429919773,-0.037566353613719884
event,"[(3884, 3824, 3944), (590, 530, 650), (2550, 2490, 2610), (590, 530, 650), (590, 530, 650), (1860, 1800, 1920), (22, 0, 82), (5597, 5537, 5657), (2147, 2087, 2207), (5597, 5537, 5657), (5597, 5537, 5657), (2147, 2087, 2207), (5031, 4971, 5091)]",-0.08646154011145057,-0.043701799485861184
event,"[(376, 316, 436), (5031, 4971, 5091), (3884, 3824, 3944), (5031, 4971, 5091), (5784, 5724, 5844), (4724, 4664, 4784), (3884, 3824, 3944), (376, 316, 436), (1860, 1800, 1920), (2867, 2807, 2927), (5784, 5724, 5844), (4501, 4441, 4561), (2550, 2490, 2610)]",-0.02584237848041529,-0.05716619028174766
