file,subset,method,precision,recall,f1,fpr,tp,fp,fn,tn
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,realAWSCloudwatch,volatility_percentile,0.0,0.0,0.0,0.0834710743801653,0,101,0,1109
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,realAWSCloudwatch,cusum,0.0,0.0,0.0,0.0,0,0,0,1210
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,realAWSCloudwatch,instability_score,0.0,0.0,0.0,0.12396694214876033,0,150,0,1060
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,realAWSCloudwatch,hybrid_windowed_confirmation,0.0,0.0,0.0,0.05619834710743802,0,68,0,1142
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,realAWSCloudwatch,volatility_percentile,0.0,0.0,0.0,0.0743801652892562,0,90,0,1120
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,realAWSCloudwatch,cusum,0.0,0.0,0.0,0.3776859504132231,0,457,0,753
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,realAWSCloudwatch,instability_score,0.705,0.34987593052109184,0.4676616915422886,0.07311028500619579,141,59,262,748
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,realAWSCloudwatch,hybrid_windowed_confirmation,1.0,0.0794044665012407,0.1471264367816092,0.0,32,0,371,807
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,realAWSCloudwatch,volatility_percentile,1.0,0.09429280397022333,0.17233560090702948,0.0,38,0,365,807
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,realAWSCloudwatch,cusum,0.4539614561027837,0.5260545905707196,0.48735632183908045,0.3159851301115242,212,255,191,552
realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,realAWSCloudwatch,instability_score,0.0,0.0,0.0,0.06611570247933884,0,80,0,1130
realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,realAWSCloudwatch,hybrid_windowed_confirmation,0.0,0.0,0.0,0.06198347107438017,0,75,0,1135
realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,realAWSCloudwatch,volatility_percentile,0.0,0.0,0.0,0.07933884297520662,0,96,0,1114
realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,realAWSCloudwatch,cusum,0.0,0.0,0.0,0.3487603305785124,0,422,0,788
realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,realAWSCloudwatch,instability_score,0.0,0.0,0.0,0.13140495867768595,0,159,0,1051
realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,realAWSCloudwatch,hybrid_windowed_confirmation,0.0,0.0,0.0,0.1834710743801653,0,222,0,988
