resample,delta_f1
"[(1860, 1800, 1920), (2867, 2807, 2927), (22, 0, 82), (5784, 5724, 5844), (2147, 2087, 2207), (4501, 4441, 4561), (1860, 1800, 1920), (2147, 2087, 2207), (5784, 5724, 5844), (5031, 4971, 5091), (2867, 2807, 2927), (22, 0, 82), (1860, 1800, 1920)]",-0.1088888888888889
"[(376, 316, 436), (376, 316, 436), (4501, 4441, 4561), (590, 530, 650), (376, 316, 436), (3884, 3824, 3944), (2147, 2087, 2207), (4724, 4664, 4784), (2550, 2490, 2610), (5784, 5724, 5844), (2147, 2087, 2207), (2867, 2807, 2927), (2867, 2807, 2927)]",-0.09079754601227
"[(4501, 4441, 4561), (3884, 3824, 3944), (1860, 1800, 1920), (4501, 4441, 4561), (1860, 1800, 1920), (2867, 2807, 2927), (1860, 1800, 1920), (376, 316, 436), (5597, 5537, 5657), (5597, 5537, 5657), (590, 530, 650), (2550, 2490, 2610), (4724, 4664, 4784)]",-0.09951864086833406
"[(5784, 5724, 5844), (5597, 5537, 5657), (4724, 4664, 4784), (2147, 2087, 2207), (5784, 5724, 5844), (5031, 4971, 5091), (5784, 5724, 5844), (4724, 4664, 4784), (4724, 4664, 4784), (3884, 3824, 3944), (4724, 4664, 4784), (4501, 4441, 4561), (4724, 4664, 4784)]",-0.06763345554387323
"[(2550, 2490, 2610), (4501, 4441, 4561), (5031, 4971, 5091), (22, 0, 82), (5031, 4971, 5091), (376, 316, 436), (2867, 2807, 2927), (4501, 4441, 4561), (2867, 2807, 2927), (5784, 5724, 5844), (5784, 5724, 5844), (4501, 4441, 4561), (2867, 2807, 2927)]",-0.04727668845315908
"[(5031, 4971, 5091), (2147, 2087, 2207), (590, 530, 650), (5597, 5537, 5657), (22, 0, 82), (22, 0, 82), (4724, 4664, 4784), (22, 0, 82), (4724, 4664, 4784), (1860, 1800, 1920), (4501, 4441, 4561), (2550, 2490, 2610), (4724, 4664, 4784)]",-0.08503093916492127
"[(376, 316, 436), (4724, 4664, 4784), (2147, 2087, 2207), (1860, 1800, 1920), (4724, 4664, 4784), (2147, 2087, 2207), (5597, 5537, 5657), (2867, 2807, 2927), (5784, 5724, 5844), (1860, 1800, 1920), (2867, 2807, 2927), (5031, 4971, 5091), (4724, 4664, 4784)]",-0.13260555412225544
"[(1860, 1800, 1920), (2147, 2087, 2207), (376, 316, 436), (5597, 5537, 5657), (376, 316, 436), (5031, 4971, 5091), (4724, 4664, 4784), (4724, 4664, 4784), (5597, 5537, 5657), (2867, 2807, 2927), (22, 0, 82), (5031, 4971, 5091), (5031, 4971, 5091)]",-0.1478445982539438
"[(4724, 4664, 4784), (2550, 2490, 2610), (2867, 2807, 2927), (2147, 2087, 2207), (3884, 3824, 3944), (5597, 5537, 5657), (376, 316, 436), (4501, 4441, 4561), (1860, 1800, 1920), (590, 530, 650), (590, 530, 650), (5784, 5724, 5844), (376, 316, 436)]",-0.12732797898167547
"[(5031, 4971, 5091), (376, 316, 436), (4501, 4441, 4561), (1860, 1800, 1920), (5031, 4971, 5091), (4724, 4664, 4784), (5784, 5724, 5844), (1860, 1800, 1920), (2550, 2490, 2610), (376, 316, 436), (590, 530, 650), (590, 530, 650), (1860, 1800, 1920)]",0.026966276977659076
