resample,delta_fpr
108,-0.038817005545286505
109,-0.04108681245858184
110,-0.040807371654234315
111,-0.037379162191192264
112,-0.03367148715734945
113,-0.05303199820989035
114,-0.05333333333333333
115,-0.0380421613763024
116,-0.04836542767577251
117,-0.03614185678789248
118,-0.05062458908612755
119,-0.027542832357406205
120,-0.03143055234573607
121,-0.017451640033641715
122,-0.05458663646659116
123,-0.03218596334376397
124,-0.031310732023321096
125,-0.0196078431372549
126,-0.049942987457240594
127,-0.056882821387940846
128,-0.030711444984533803
129,-0.029182445979059925
130,-0.04079332882578319
131,-0.030461270670147957
132,-0.04072398190045249
133,-0.07851423487544484
134,-0.03916272788656313
135,-0.02416851441241685
136,-0.03483470157532727
137,-0.04824561403508772
138,-0.03306908267270668
139,-0.05218173639226271
140,-0.041261010662957814
141,-0.05005440696409141
142,-0.04259259259259259
143,-0.019458946369245375
144,-0.03117290872392913
145,-0.03284832451499118
146,-0.025191405285255618
147,-0.04126908396946565
148,-0.05298913043478261
149,-0.024688561721404302
150,-0.035075960679177835
151,-0.03443619176232276
152,-0.03799692510432681
153,-0.04312431243124312
154,-0.029495927801012543
155,-0.030400736987563338
156,-0.044255504687159365
157,-0.036097980232058444
158,-0.03877869400490305
159,-0.034223134839151265
160,-0.0508551881413911
161,-0.023580786026200874
162,-0.044061302681992334
163,-0.020588235294117647
164,-0.039143449228643795
165,-0.05467128027681661
166,-0.02666666666666667
167,-0.03513513513513514
168,-0.04528467795119807
169,-0.04136648849639787
170,-0.014225746268656718
171,-0.011885341412258214
172,-0.046592489568845624
173,-0.045337344220025784
174,-0.03627684964200477
175,-0.04154175588865096
176,-0.05659075224292616
177,-0.04988610478359909
178,-0.03594629709831095
179,-0.0241045280468574
180,-0.03162333099086437
181,-0.04223433242506812
182,-0.035996488147497806
183,-0.0444247001332741
184,-0.03834874802616738
185,-0.05510879848628193
186,-0.0359385148300498
187,-0.03685393258426966
188,-0.048195422535211266
189,-0.04140969162995595
190,-0.04415465568519789
191,-0.04823447957535195
192,-0.047740292807129214
193,-0.037829317721233956
194,-0.04739990796134376
195,-0.0482084690553746
196,-0.055021624219125424
197,-0.04459334565619224
198,-0.04522278873863888
199,-0.05121668597914253
200,-0.028908418131359852
201,-0.024643906850553926
202,-0.019644970414201185
203,-0.02516143397906925
204,-0.02422145328719723
205,-0.049553781117895726
206,-0.05214393449687567
207,-0.037526059763724806
208,-0.030219146482122265
209,-0.036483516483516484
210,-0.048411497730711045
211,-0.034237726098191215
212,-0.03103595890410959
213,-0.0341726618705036
214,-0.049554444685937844
215,-0.03872782345305063
216,-0.048819255222524977
217,-0.025472112428634168
218,-0.029108411643364657
219,-0.06248590119557861
220,-0.05206463195691203
221,-0.03786342123056119
222,-0.03569082548719072
223,-0.02059880239520958
224,-0.05567202422548334
225,-0.024362734040153395
226,-0.04079358002674988
227,-0.053089244851258585
228,-0.038635336647085405
229,-0.04606921842768737
230,-0.040697674418604654
231,-0.04825439181676673
232,-0.051790137356451243
233,-0.03428201811125485
234,-0.026466696074106746
235,-0.044449408085771726
236,-0.05199716379106594
237,-0.0341039139391165
238,-0.05089408528198074
239,-0.04336788660884282
240,-0.050011366219595364
241,-0.027375918094814152
242,-0.04075235109717868
243,-0.027095681625740897
244,-0.046958855098389984
245,-0.03002808381939944
246,-0.036304347826086956
247,-0.0626858842370167
248,-0.03717301514456173
249,-0.038112120540660314
250,-0.03497986008055968
251,-0.03462603878116344
252,-0.0425954535422644
253,-0.03760605365741802
254,-0.052884615384615384
255,-0.038621900373052444
256,-0.03858303249097473
257,-0.03324435816549381
258,-0.03402107111501317
259,-0.03962954986000431
260,-0.05847176079734219
261,-0.0346310547759167
262,-0.02151983860121049
263,-0.039352864013992135
264,-0.04106643732530638
265,-0.03900547445255474
266,-0.03145730793922534
267,-0.02241537053979872
268,-0.027015057573073518
269,-0.031545741324921134
270,-0.04069364161849712
271,-0.04196449158404427
272,-0.04232933692194764
273,-0.03455377574370709
274,-0.032672374943668314
275,-0.04862236628849271
276,-0.01816958277254374
277,-0.04084442404772831
278,-0.05038759689922481
279,-0.029177718832891247
280,-0.02821316614420063
281,-0.044424500785281575
282,-0.02583650995340957
283,-0.036414565826330535
284,-0.05737704918032788
285,-0.04656419529837252
286,-0.039014821272885795
287,-0.019810895992796035
288,-0.03601496725912068
289,-0.03789053844449368
290,-0.026103980857080704
291,-0.0337620578778135
292,-0.03334856098675194
293,-0.03339350180505415
294,-0.03569138704851464
295,-0.04936562860438293
296,-0.0621188163541902
297,-0.026615104640582348
298,-0.0703125
299,-0.03537197626654496
300,-0.018965113556544136
301,-0.043222003929273084
302,-0.03962304562004712
303,-0.03990246065174019
304,-0.05859030837004405
305,-0.02309368191721133
306,-0.02951314088754847
307,-0.012279526680062514
308,-0.029982363315696647
309,-0.03467437208268504
310,-0.060035445281346925
311,-0.012357414448669201
312,-0.04275587062472309
313,-0.04706654991243433
314,-0.07093505297098111
315,-0.039906651108518085
316,-0.028124999999999997
317,-0.03367003367003367
318,-0.049700085689802914
319,-0.04748062015503876
320,-0.044483209768861755
321,-0.026876943580630835
322,-0.03236944324557618
323,-0.042674577818347784
324,-0.0292358803986711
325,-0.04450625869262865
326,-0.042068361086765996
327,-0.01952701236710783
328,-0.04375425073679438
329,-0.03139717425431711
330,-0.03041144901610018
331,-0.04178674351585015
332,-0.05003442735827404
333,-0.03776501766784452
334,-0.04377625469820915
335,-0.03301145295306535
336,-0.04800704690596785
337,-0.03324808184143223
338,-0.04651665945478148
339,-0.03402827701893122
340,-0.032230703986429174
341,-0.05724588686049132
342,-0.03587540279269603
343,-0.04165781083953241
344,-0.03298538622129436
345,-0.058823529411764705
346,-0.04100437687168855
347,-0.04502593116454502
348,-0.04045853000674309
349,-0.028349944629014395
350,-0.04018965906525175
351,-0.04183828311294169
352,-0.027096472786732072
353,-0.031039136302294195
354,-0.017733763242745282
355,-0.04377325454147516
356,-0.049690812720848056
357,-0.04764086120018323
358,-0.05667737494263424
359,-0.04358571107616266
360,-0.05324497257769653
361,-0.05175141242937853
362,-0.016775777414075287
363,-0.05088783022953659
364,-0.039362912400455065
365,-0.03165735567970205
366,-0.05147697654213727
367,-0.037104484407011154
