resample,delta_f1
500,-0.12583394787369034
501,-0.09971330237256179
502,-0.04790896979892867
503,-0.10680605119450415
504,-0.14529423040061334
505,-0.16361237777971796
506,-0.05516129513059115
507,-0.14340565810033157
508,-0.17228324890267466
509,-0.1683186203135168
510,-0.1331301774327483
511,-0.13135190440955027
512,-0.1546649710874205
513,-0.04089192654347373
514,-0.1659294871794872
515,-0.14716422248055083
516,-0.11832004628200371
517,-0.11737744692379457
518,-0.18838542377507847
519,-0.12745347083498465
520,-0.07806752594276145
521,-0.13002190760454058
522,-0.09619777453444889
523,-0.08698663666186879
524,-0.08958911867657524
525,-0.08608751441433149
526,-0.16641330847554853
527,-0.13992095430341522
528,-0.06953159079793259
529,-0.09799675951060366
530,-0.1510174482310705
531,-0.05509869418508462
532,-0.09307900428450425
533,-0.14299929713378143
534,-0.06625170475518938
535,-0.13267637020966605
536,-0.20266236008844213
537,-0.15748394298167606
538,-0.11835542168188107
539,-0.11470641281174992
540,-0.12664142333551784
541,-0.13478434646048068
542,-0.08505985659052348
543,-0.12528707147186136
544,-0.15636508906412952
545,-0.11247819504155765
546,-0.1591052029731275
547,-0.18181372549019603
548,-0.09863628640009914
549,-0.10478501872659174
550,-0.11990705982472474
551,-0.20705889467089061
552,-0.11702993334040926
553,-0.05056931114601779
554,-0.15451585901373535
555,-0.1473253626791776
556,-0.15759281810110093
557,-0.10422639795435118
558,-0.13133476737717018
559,-0.1819387088495369
560,-0.06358579068972586
561,-0.13568295348203951
562,-0.0891312945287552
563,-0.07910373854914582
564,-0.12682137763335882
565,-0.09418122270742355
566,-0.11060855263157893
567,-0.14726431307923304
568,-0.15343492884270812
569,-0.1058030008484862
570,-0.13629274241427453
571,-0.15894143494532337
572,-0.11108099886265085
573,-0.09891209660794914
574,-0.1722576784758943
575,-0.09563923824979409
576,-0.1718392478701757
577,-0.1170507381616796
578,-0.04937099480803231
579,-0.08870709792092427
580,-0.0757921220221715
581,-0.15254669725200123
582,-0.12176091105335529
583,-0.09059206324045421
584,-0.14148621261570513
585,-0.09752010448582621
586,-0.04016029016029016
587,-0.0404157934210434
588,-0.0626323397273118
589,-0.016153773231431745
590,-0.11275926098976716
591,-0.15645983667279925
592,-0.10409236877518477
593,-0.14117935355710434
594,-0.1613476096296802
595,-0.09931494973857896
596,-0.13629136918833518
597,-0.0666434880383483
598,-0.137501882277291
